666,蔵,4,Saki666?,本家バカじゃない？
Ultimate Force,蔵,3,蔵,後半かなりマシになってます
PANDORA PARADOXXX,蔵,3,蔵,うまりんにはこのまま出しても…みたいなこと言われました。正気？
Latent Kingdom,蔵,5,蔵,Antinomy Pale談　真にやばいのは未来。自分は24分トリルだけ
DA‘AT -The First Seeker of Souls-,蔵,5,Antinomy Pale「感謝しろ」,本当に良く調整してくれましたね…
Stardust:RAY,蔵,5,nomunomu,容疑者は「うまりんならできると思って、、、」と供述
Tuatha Dé Danann,蔵,1,通常譜面から虹に左遷,本当にごめんなさい
Tuatha Dé Danann,蔵,3,ちょっと頑張った,オートはミス吐きます
Tuatha Dé Danann,蔵,5,36..........？？？？？？？？？,おにぎりの初稿としては過去一酷い
Archidoxen,蔵,2,グッバイ権限,権限残存チキンレース敗北
Tru'nembra,蔵,5,"TraNsforM ""AIR""",ウニから持ってきちゃいけない配置全部持ってきてみた
盟月,蔵,2,Yodo,
キミとボクへの葬送歌,蔵,6,Absolutely Kill,まさかの上限突破　それはそうとこれは本当にMASTERの蔵譜面なのだろうか？
The Devil Incarnate,蔵,5,三会頭,empty
End Time,敷,3,Long Time,MASTERが赤タップしかないので思いついてしまった
"Over The ""Period""",速,5,NOMUNOMU underground overlay,通常譜面で出そうとしたら税関ストップかけられました
Schrecklicher Aufstand,狂,4,Streich ,ドイツ語で「悪ふざけ」といういみらしいです
End Time,狂,4,賢者タイム,ん？そんな音なってるかって？知らんな
もぺもぺ,狂,5,jdにsdjんcいshdcbjh,そぢvうぃえうvs0ぢvjくぉいn
ひつぎとふたご,狂,5,最初で最後の私の狂気,48分音いかつすぎておもろい
What's up? Pop!,狂,5,プロセカ+チュウニズムを2で割らなかったmirai ,これ最初MASTERで出すとか言われて目ん玉飛び出た
FREEDOM DiVE↓,狂,5,mirai's Freedom,MASTERってなんだっけ
チャージマン研！,狂,1,チャージング業！,ぜひとも業(MASTER)をやってからプレイしていただきたい
センダンライフ(かたぎり Bootleg),狂,4,ザクPrototype(CV:柘榴れいか),Bye-Bye 判定枠の焦点合わして ChordJackの消点探した 漏れたノーツが苦くても iPadの照明落として 降参なんて冗談じゃないって ほんの一瞬だけ笑った
"Ultimate Force",狂,5,"NOMUNOMU/METAVERSE","Get the 'Ultimate Force'"
RENDA JOCEKY,嘘,6,Malodyだから指押し(？),ちゃんと運指組んでください
Trrricksters‼︎,招,3,全日本Saki譜面検定,あなたはいくつわかりますか？
Never End,招,３,４LINES OVER  LV.28,MASTERと音取り違いすぎておもろい
Crush the Dystopia,改,5,そろそろ蟹の季節ですね,もはやWE【蟹】
I Wanna,横,3,Slide譜面実験場,好評だったらワンチャン第2弾（ない）
階段練習曲,V,1,nomunomu,ちゃんと練習曲してる。次があるかは不明
蜘蛛の糸,V,4,nomunomu,どっちかって言うとオンゲキの擬似5鍵に近しい譜面してる
Mrs.RENDA,一,1,1レーン,星1なわけないでしょ5ですよ
ARCANAA？,？,2,Chart Lab 【蔵】...？,これできたらTAKUMI³もできる
今年も、「雪降りメリクリ」目指して頑張ります！,SP,,Saki41??,真面目にやってどうするの
FestA of PandemoniuM,？,,nomunomu,移動する同時押し混じりの24分縦連許さん
Re:Unknown X,？,,nomunomu,普通に人間にやらせる譜面じゃなくて笑ったよね
Oshama Scramble!,？,5,ぼくのかんがえたさいきょうのふめん,運指を頑張って考えよう
ジングルベル,Single Hell,12.25？,サンタさんからク○譜面のプレゼント,真面目にやってどうするの2　譜面引用パレードです
ピアノ独奏無言歌第一番「灰燼」,ORIGINAL,27.5？,Saki28,まあ初稿だからね。しょうがないね。
Dengeki Tube,Practice CHUNTIHM,30？,Saki28,ほぼ完全再現です
ラストピースに栄光と祝福,MASTER?,30？,Saki28,ノリと勢いってやつですわ。無事隔離
Don't Fight The Music And Revive The Melody,MASTER?,32？,Saki28,当時これよくやりましたね
大宇宙ステージ,GRAVITY,33？,Extra Saki,なんやかんやあって隔離することに決めました
神威,MASTER？,33.90？,Saki3390?,ようやく隔離、すみませんでした
Apollo,MASTER？,33.90？,Saki28,初期譜面がよく現れている。リマスターが出たことにより無事隔離
祈〜我ら神祖と共に歩む者なり〜,MASTER？,35？,Prayer,現代の35とは基準が合わないためあえなく虹送りに
Chaotic Order,MASTER？,35？,Saki powered by umarinkun,上に同じ。ご協力いただいたうまりんには申し訳ない
